NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;91900;.;905.900.694;576.533.042;329.367.653;23.232;28.546;17.810;33.300;38.754;26.302;20051231
AT1;AT13;AT130;92000;.;778.527.388;468.626.647;309.900.741;16.023;17.369;14.403;22.915;24.322;20.935;20051231
AT1;AT13;AT130;92100;.;1.608.019.095;980.167.969;627.851.126;18.547;21.146;15.691;24.873;27.169;21.629;20051231
AT1;AT13;AT130;92200;.;1.945.220.203;1.198.451.732;746.768.471;19.804;22.962;16.389;25.954;28.537;22.196;20051231
AT1;AT13;AT130;92300;.;1.245.347.544;774.558.605;470.788.939;21.544;25.498;17.380;28.482;32.059;23.625;20051231
AT1;AT13;AT130;90100;.;306.943.000;203.631.000;103.312.000;29.234;36.957;21.160;43.745;53.251;32.139;20061231
AT1;AT13;AT130;90200;.;1.009.346.000;604.121.000;405.225.000;17.458;19.051;15.597;25.504;27.331;23.009;20061231
AT1;AT13;AT130;90300;.;1.113.882.000;664.871.000;449.011.000;20.210;23.088;17.189;28.843;32.073;24.856;20061231
AT1;AT13;AT130;90400;.;448.861.000;269.489.000;179.372.000;22.350;25.922;18.674;32.387;36.704;27.193;20061231
AT1;AT13;AT130;90500;.;610.721.000;357.710.000;253.011.000;17.295;18.976;15.437;25.488;27.468;22.991;20061231
AT1;AT13;AT130;90600;.;423.827.000;246.795.000;177.032.000;20.273;22.768;17.686;29.645;32.953;25.787;20061231
AT1;AT13;AT130;90700;.;461.922.000;268.630.000;193.292.000;20.885;24.120;17.737;30.618;34.335;26.366;20061231
AT1;AT13;AT130;90800;.;372.464.000;219.141.000;153.323.000;22.329;26.086;18.679;33.076;37.892;27.665;20061231
AT1;AT13;AT130;90900;.;575.649.000;339.837.000;235.812.000;20.748;24.163;17.393;31.219;35.371;26.437;20061231
AT1;AT13;AT130;91000;.;1.828.447.000;1.108.671.000;719.776.000;17.257;18.984;15.220;23.757;25.399;21.416;20061231
AT1;AT13;AT130;91100;.;962.270.000;586.431.000;375.839.000;17.646;19.658;15.313;23.685;25.416;21.156;20061231
AT1;AT13;AT130;91200;.;946.949.000;561.602.000;385.347.000;17.446;19.188;15.485;24.782;26.580;22.379;20061231
AT1;AT13;AT130;91300;.;824.208.000;523.547.000;300.661.000;26.230;32.744;19.809;36.076;42.703;27.764;20061231
AT1;AT13;AT130;91400;.;1.104.238.000;658.318.000;445.920.000;20.510;23.360;17.514;27.963;30.788;24.360;20061231
AT1;AT13;AT130;91500;.;713.123.000;422.707.000;290.416.000;15.527;16.713;14.125;22.728;24.032;20.930;20061231
